NEAR :  271,9 
pretend :  223,47 
Turtle--we :  2421,27 
solid :  143,64 
meanwhile :  2017,33 
spreading :  3260,12 
require :  3548,24 
Game :  2803,3 
accessible :  3684,44 
balanced :  1070,11 
elect :  3601,23 
result :  1158,47 
corners :  1955,0 
V :  958,8 
bowing :  2008,41 
W :  721,21 
X :  2530,8 
b :  3629,7 
BEE :  1031,51 
address :  3542,5 
BEG :  3097,7 
eating :  1787,13 
fifth :  641,65 
thank :  863,39 
Ada :  311,18 
empty :  82,22 
tie :  836,58 
PGLAF :  3445,4 
laugh :  570,25 
STRICT :  3587,59 
pine-apple :  185,25 
sand :  371,34 
owed :  3535,5 
Redistributing :  3420,37 
bursting :  2077,55 
SIT :  3027,14 
Canterbury :  490,28 
harm :  389,44 
downwards :  3108,19 
clinging :  456,57 
flown :  1167,45 
disclaimers :  3613,33 
arranged :  904,0 
Redistribution :  3401,49 
ensuring :  3643,10 
then--I :  1711,64 
course-- :  3270,0 
PROVES :  3202,6 
splash :  365,65 
uglifying :  2475,0 
Dinn :  2632,20 
simply-- :  2293,0 
gained :  2704,44 
hate :  443,43 
after-time :  3361,14 
never-ending :  3341,13 
binary :  3512,59 
crazy :  1316,25 
pink :  51,55 
woman :  3361,45 
save :  747,20 
protection :  2020,13 
caterpillar :  951,56 
hypertext :  3514,19 
cart-horse :  923,39 
roast :  185,37 
energetic :  511,61 
Fairbanks :  3665,0 
additions :  3629,39 
wept :  373,57 
housemaid :  717,20 
vinegar :  2227,11 
Birds :  2274,23 
cheap :  2309,3 
to-- :  1947,57 
produce :  3734,32 
picture :  2369,50 
hippopotamus :  383,23 
walks :  3639,14 
trusts :  3234,6 
--Mind :  839,25 
rose :  3308,23 
again-- :  3276,54 
employee :  3622,30 
lad :  836,15 
Copyright :  3461,33 
contemptuous :  2733,19 
pigeon :  1167,34 
circumstances :  944,54 
lest :  722,46 
plenty :  75,0 
AGREEMENT :  3590,48 
TOOK :  58,59 
shining :  327,18 
--for :  3079,53 
distance--but :  98,31 
rudeness :  1882,14 
patriotic :  490,4 
unenforceability :  3618,45 
Any :  3521,7 
Their :  2029,1 
water-well :  1849,29 
hatching :  1187,32 
mouths--and :  2636,6 
spoken :  1928,33 
rabbits :  767,0 
clamour :  3356,22 
unimportant :  3140,54 
tut :  2240,6 
scolded :  219,18 
queerest :  3186,58 
means--to--make--anything--prettier :  2477,34 
pace :  2960,33 
opposite :  1973,25 
supple :  1054,30 
bawled :  1742,20 
thirty :  3718,18 
cur :  611,7 
one--but :  772,20 
killing :  83,3 
Defects :  3575,1 
calmly :  2419,61 
pencils :  3115,28 
reported :  3555,39 
worried :  2317,14 
creation :  3399,8 
SUCH :  3592,65 
BUT :  3610,54 
refused :  465,52 
FULCRUM :  35,15 
Run :  712,10 
OTHER :  3609,65 
mournfully :  1719,26 
txt :  3379,37 
PUNITIVE :  3591,59 
pie-- :  2764,45 
purple :  3298,44 
cartwheels :  833,19 
Creating :  3388,0 
unable :  3109,44 
fellows :  1773,46 
lit :  135,39 
feathers :  456,20 
blows :  1370,48 
donation :  3707,57 
shrieks :  827,11 
--Bill :  842,12 
juror :  2881,21 
prosecute :  599,8 
dunce :  2981,14 
Involved :  3233,4 
queer-shaped :  1425,56 
fixed :  471,45 
memory :  1873,31 
currants :  228,36 
attends :  2117,31 
unjust :  1935,65 
--SAID :  3261,63 
start :  3728,12 
licking :  414,51 
without--Maybe :  2225,5 
imitated :  3189,14 
INSIDE :  1293,12 
downward :  104,12 
PARAGRAPH :  3589,12 
child-life :  3367,20 
required :  3539,29 
CONSEQUENTIAL :  3591,44 
climb :  212,8 
furiously :  3280,24 
INCIDENTAL :  3592,0 
dates :  2920,21 
GIVE :  3592,31 
coast :  370,18 
telescopes :  166,53 
consultation :  460,0 
sorrows :  3366,17 
Write :  2919,1 
NOTICE :  3592,36 
redistribute :  3506,53 
paperwork :  3692,26 
teaching :  936,29 
lot :  3439,34 
fundraising :  3660,17 
1994 :  13,21 
manners :  1344,35 
Puss :  1474,10 
mouse-traps :  1873,0 
survive :  3681,45 
fury :  1993,30 
Canary :  681,31 
centre :  93,19 
blown :  204,35 
Tortoise-- :  2421,55 
performed :  3476,50 
ravens :  1634,42 
contradicted :  1096,47 
twenty-four :  1382,0 
dodged :  919,41 
quick :  1779,8 
audibly :  517,9 
possession :  3428,60 
daresay :  398,59 
Like :  1734,5 
affair :  3233,21 
accustomed :  478,0 
raising :  1195,8 
drinking :  1787,24 
EXCEPT :  3588,52 
stays :  1665,0 
tittered :  517,0 
sobbed :  1452,28 
sisters--they :  1829,34 
INDEMNITY :  3621,8 
alternately :  1339,0 
critical :  3642,25 
Kings :  1959,42 
principal :  3664,17 
subscribe :  3735,0 
noticing :  1962,0 
someone :  2111,8 
viewing :  3524,43 
Frog-Footman :  1269,22 
engraved :  721,32 
finds :  718,27 
gloves--that :  719,12 
Thus :  3724,40 
DISTRIBUTOR :  3590,25 
examining :  2017,48 
accepting :  3700,8 
banks :  1180,47 
pass :  2841,8 
past :  84,9 
mile :  3150,11 
shock :  3114,52 
milk :  115,60 
bill :  2457,64 
bathing :  370,45 
eats :  236,50 
you--all :  864,29 
treatment :  3704,30 
choosing :  1852,61 
FOOT :  269,19 
October :  14,14 
adoption :  511,44 
annoyed :  1191,28 
milk-jug :  1843,45 
staff :  3705,60 
possible :  802,42 
wood-- :  1258,0 
returning :  292,7 
maximum :  3617,24 
TIS :  2717,23 
die :  3101,11 
